metric,value,unit,geography_code,period_start,period_end,source,note
p25,19969.495,BRL_integral_nominal_instrument,SC,2023-07-20,2026-08-15,https://confenge.com.br/inteligencia/valor-tipico-contratos-pavimentacao/,quartil copiado do conjunto aprovado; não é custo por km
median,218284.5,BRL_integral_nominal_instrument,SC,2023-07-20,2026-08-15,https://confenge.com.br/inteligencia/valor-tipico-contratos-pavimentacao/,valor integral nominal do instrumento; não é custo por km
p75,708950.0,BRL_integral_nominal_instrument,SC,2023-07-20,2026-08-15,https://confenge.com.br/inteligencia/valor-tipico-contratos-pavimentacao/,quartil copiado do conjunto aprovado; não é custo por km
n_usable,5038,count,SC,2023-07-20,2026-08-15,https://confenge.com.br/inteligencia/valor-tipico-contratos-pavimentacao/,amostra utilizável; registros ausentes não são convertidos em zero
n_total_keyword_rows,5063,count,SC,2023-07-20,2026-08-15,https://confenge.com.br/inteligencia/valor-tipico-contratos-pavimentacao/,total encontrado no recorte de Santa Catarina
missingness_unknown_or_nonpositive,25,count,SC,2023-07-20,2026-08-15,https://confenge.com.br/inteligencia/valor-tipico-contratos-pavimentacao/,valores ausentes ou não positivos fora dos quartis; não representam contrato de valor zero
